Id, Name
173499, ABDULLAH GÜL ÜNİVERSİTESİ, Abdullah Gül University
326654, ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ, Acıbadem Mehmet Ali Aydınlar University
385368, ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ, Adana Alparslan Türkeş University of Science and Technology
100259, ADIYAMAN ÜNİVERSİTESİ, Adıyaman University
100869, AFYON KOCATEPE ÜNİVERSİTESİ, Afyon Kocatepe University
339999, AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ, Afyonkarahisar University of Health Sciences
101313, AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ, Ağrı İbrahim Çeçen University
101458, AKDENİZ ÜNİVERSİTESİ, Akdeniz University
102005, AKSARAY ÜNİVERSİTESİ, Aksaray University
274883, ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ, Alanya Alaaddin Keykubat University
447835, ALANYA ÜNİVERSİTESİ, Alanya University
326019, ALTINBAŞ ÜNİVERSİTESİ, Altınbaş University
102198, AMASYA ÜNİVERSİTESİ, Amasya University
102261, ANADOLU ÜNİVERSİTESİ, Anadolu University
411762, ANKARA BİLİM ÜNİVERSİTESİ, Ankara Science University
339985, ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ, Ankara Hacı Bayram Veli University
340001, ANKARA MEDİPOL ÜNİVERSİTESİ, Ankara Medipol University
324993, ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ, Ankara Music and Fine Arts University
232846, ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ, Ankara University of Social Sciences
102738, ANKARA ÜNİVERSİTESİ, Ankara University
311737, ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ, ANKARA YILDIRIM BEYAZIT UNIVERSITY
447662, ANTALYA BELEK ÜNİVERSİTESİ, Antalya Belek University
327022, ANTALYA BİLİM ÜNİVERSİTESİ, Antalya Science University
103400, ARDAHAN ÜNİVERSİTESİ, Ardahan University
103443, ARTVİN ÇORUH ÜNİVERSİTESİ, Artvin Coruh University
255896, ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU, Ataşehir Adıgüzel Vocational School
103545, ATATÜRK ÜNİVERSİTESİ, Atatürk University
104090, ATILIM ÜNİVERSİTESİ, Atılım University
205351, AVRASYA ÜNİVERSİTESİ, Eurasia University
364158, AYDIN ADNAN MENDERES ÜNİVERSİTESİ, Aydin Adnan Menderes University
104140, BAHÇEŞEHİR ÜNİVERSİTESİ, Bahçeşehir University
104213, BALIKESİR ÜNİVERSİTESİ, BALIKESİR UNIVERSITY
274881, BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ, Bandırma Onyedi Eylül University
104578, BARTIN ÜNİVERSİTESİ, Bartin University
104628, BAŞKENT ÜNİVERSİTESİ, BAŞKENT UNIVERSITY
104803, BATMAN ÜNİVERSİTESİ, Batman University
104922, BAYBURT ÜNİVERSİTESİ, Bayburt University
306383, BEYKOZ ÜNİVERSİTESİ, Beykoz University
163894, BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ, Bezm-i realm Foundation University
105024, BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ, Bilecik Sheikh Edebali University
105196, BİNGÖL ÜNİVERSİTESİ, Bingöl University
251241, BİRUNİ ÜNİVERSİTESİ, Biruni University
105248, BİTLİS EREN ÜNİVERSİTESİ, Bitlis Eren University
105322, BOĞAZİÇİ ÜNİVERSİTESİ, Boğaziçi University
341799, BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ, Bolu Abant Izzet Baysal University
355074, BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ, Burdur Mehmet Akif Ersoy University
173494, BURSA TEKNİK ÜNİVERSİTESİ, Bursa Technical University
362386, BURSA ULUDAĞ ÜNİVERSİTESİ, Bursa Uludag University
106499, ÇAĞ ÜNİVERSİTESİ, ÇAĞ UNIVERSITY
106545, ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ, Çanakkale Onsekiz Mart University
107012, ÇANKAYA ÜNİVERSİTESİ, Çankaya University
107056, ÇANKIRI KARATEKİN ÜNİVERSİTESİ, Çankırı Karatekin University
107211, ÇUKUROVA ÜNİVERSİTESİ, Çukurova University
384591, DEMİROĞLU BİLİM ÜNİVERSİTESİ, Demiroğlu Science University
107723, DİCLE ÜNİVERSİTESİ, Dicle University
108112, DOĞUŞ ÜNİVERSİTESİ, Doğuş University
108163, DOKUZ EYLÜL ÜNİVERSİTESİ, Dokuz Eylül University
109110, DÜZCE ÜNİVERSİTESİ, Düzce University
109290, EGE ÜNİVERSİTESİ, Ege University
109868, ERCİYES ÜNİVERSİTESİ, Erciyes University
370189, ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ, Erzincan Binali Yildirim University
173495, ERZURUM TEKNİK ÜNİVERSİTESİ, Erzurum Technical University
110538, ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ, Eskişehir Osmangazi University
339997, ESKİŞEHİR TEKNİK ÜNİVERSİTESİ, Eskişehir Technical University
